country,group,converted
UK,control,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
UK,control,1
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
CA,treatment,0
UK,control,0
US,treatment,0
UK,treatment,1
US,treatment,0
US,treatment,1
US,treatment,0
UK,control,0
UK,control,0
UK,treatment,0
UK,treatment,0
UK,control,0
US,control,0
UK,control,0
US,treatment,0
UK,treatment,1
US,treatment,0
US,control,0
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,0
US,control,0
UK,treatment,0
US,control,0
US,control,0
UK,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,1
US,treatment,1
UK,control,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,1
UK,control,1
US,control,0
US,control,0
UK,treatment,0
UK,treatment,0
US,control,0
US,control,0
UK,control,0
US,control,0
US,control,0
UK,control,0
UK,control,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
US,treatment,1
US,treatment,0
US,treatment,1
US,control,0
UK,treatment,1
US,control,0
US,treatment,0
US,control,1
US,control,0
US,control,0
US,treatment,0
CA,treatment,0
US,control,0
US,control,0
US,treatment,0
CA,control,0
US,treatment,0
US,treatment,0
UK,control,0
US,control,0
US,treatment,0
US,control,0
UK,treatment,0
US,control,0
CA,control,0
CA,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,1
UK,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,1
US,treatment,0
UK,control,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,1
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,1
UK,control,0
US,treatment,1
US,treatment,0
US,control,0
US,control,1
US,control,0
US,treatment,0
UK,control,0
US,treatment,0
CA,treatment,0
US,control,1
US,treatment,0
US,control,0
US,treatment,0
US,control,1
US,control,0
US,control,1
US,control,0
US,treatment,0
UK,treatment,0
UK,control,1
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,control,0
UK,treatment,0
US,control,0
US,treatment,1
US,treatment,0
US,control,0
UK,treatment,0
US,control,0
US,control,0
US,control,0
CA,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
UK,treatment,0
UK,treatment,0
US,control,1
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,1
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,treatment,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
UK,control,1
US,control,0
US,treatment,1
US,control,1
UK,control,0
UK,treatment,1
US,treatment,0
US,treatment,1
US,control,0
UK,control,0
UK,treatment,0
US,treatment,0
UK,treatment,1
UK,treatment,0
US,control,0
UK,treatment,1
US,treatment,0
UK,treatment,0
UK,treatment,0
US,treatment,0
UK,control,0
UK,control,0
UK,treatment,0
US,control,0
UK,control,1
US,treatment,0
US,treatment,0
US,control,1
US,treatment,1
US,control,0
CA,treatment,0
UK,control,0
US,treatment,0
UK,control,0
US,treatment,0
US,treatment,1
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
UK,control,0
US,control,1
UK,treatment,0
UK,treatment,0
US,control,0
US,control,0
UK,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,treatment,0
US,control,0
US,control,0
UK,control,0
UK,control,0
US,treatment,0
CA,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
CA,control,0
US,control,0
UK,control,0
US,control,0
UK,treatment,0
UK,treatment,0
US,treatment,0
UK,control,0
US,treatment,1
UK,treatment,0
UK,control,0
US,control,0
UK,control,0
US,control,0
UK,treatment,0
UK,control,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,1
US,treatment,1
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
UK,control,1
UK,treatment,0
US,control,1
US,treatment,0
UK,treatment,0
US,treatment,1
US,control,0
US,control,0
UK,treatment,0
US,treatment,1
US,treatment,0
US,treatment,0
US,treatment,0
US,control,1
UK,control,0
US,control,1
US,treatment,0
US,treatment,0
CA,treatment,1
UK,treatment,0
CA,treatment,1
UK,control,0
US,treatment,1
US,control,0
UK,treatment,0
US,control,0
UK,control,0
US,control,0
US,control,0
US,control,0
UK,control,0
UK,treatment,0
US,control,0
US,control,0
US,control,1
US,control,0
US,control,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,treatment,0
US,control,0
US,treatment,1
US,control,0
UK,control,1
UK,control,0
US,control,0
US,control,0
US,control,0
UK,control,0
US,control,0
US,treatment,0
UK,treatment,0
UK,treatment,0
US,control,0
US,treatment,1
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
US,treatment,0
US,control,0
UK,treatment,1
CA,control,0
US,treatment,0
US,control,1
US,control,1
US,treatment,0
UK,treatment,0
US,control,0
UK,control,0
US,control,1
US,treatment,1
US,control,0
UK,control,0
US,treatment,0
UK,treatment,0
UK,control,0
CA,treatment,0
US,control,0
US,control,0
US,control,0
US,control,1
US,treatment,0
CA,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,control,1
UK,control,1
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,1
US,control,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,1
US,treatment,0
CA,treatment,0
UK,treatment,0
US,treatment,1
US,control,0
US,treatment,0
US,treatment,0
UK,control,0
US,control,0
UK,treatment,1
UK,control,0
UK,control,0
UK,control,0
UK,control,0
US,treatment,1
US,control,0
US,control,0
US,treatment,1
UK,control,0
CA,treatment,0
US,treatment,0
UK,control,0
US,control,1
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
UK,treatment,0
US,control,1
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
US,control,0
US,control,0
CA,control,0
UK,control,0
UK,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
US,control,0
US,control,0
US,treatment,0
US,control,1
UK,control,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
CA,control,0
UK,control,0
US,control,0
UK,control,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,1
US,control,1
US,treatment,1
US,treatment,0
US,treatment,0
US,treatment,0
US,control,1
US,control,0
US,control,0
US,control,0
CA,treatment,1
US,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,0
UK,control,0
CA,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
US,treatment,1
UK,control,0
US,control,0
UK,control,0
UK,control,0
UK,treatment,0
UK,treatment,0
US,control,1
UK,control,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,control,0
US,treatment,0
UK,control,0
US,control,1
US,treatment,1
US,control,0
US,control,0
US,control,0
US,control,0
UK,treatment,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,1
US,treatment,0
US,treatment,0
UK,control,1
US,control,0
UK,treatment,0
US,control,1
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,1
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
UK,treatment,1
US,control,0
US,control,1
US,control,0
US,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
UK,treatment,0
UK,control,1
US,treatment,0
US,control,0
US,treatment,1
UK,control,0
US,control,0
US,treatment,0
CA,treatment,0
US,control,0
US,control,0
UK,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,0
CA,control,0
US,treatment,0
US,control,0
US,control,0
UK,control,0
US,treatment,1
UK,treatment,0
UK,control,0
UK,treatment,0
UK,control,0
UK,control,0
US,control,1
US,control,1
US,treatment,0
US,control,0
UK,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,0
UK,treatment,1
US,control,1
US,treatment,0
US,control,0
US,control,1
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,treatment,0
US,control,0
UK,control,0
US,treatment,0
UK,control,0
US,treatment,0
UK,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
CA,treatment,0
US,treatment,0
US,control,0
US,control,1
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,control,0
US,treatment,0
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,control,0
UK,control,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,1
US,control,0
US,control,0
US,control,0
US,control,1
US,control,0
US,control,1
CA,control,0
US,control,0
CA,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,1
UK,treatment,0
US,treatment,1
US,treatment,0
US,control,0
UK,treatment,0
UK,control,0
US,control,0
US,control,0
US,treatment,0
US,control,0
UK,control,0
US,treatment,1
US,treatment,0
UK,treatment,0
US,control,1
UK,control,0
US,control,0
US,control,0
US,control,0
UK,control,0
US,treatment,0
UK,treatment,0
UK,control,0
US,treatment,0
UK,treatment,0
UK,treatment,0
US,treatment,0
US,control,0
US,treatment,1
UK,control,0
US,control,1
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
UK,treatment,0
UK,control,0
US,treatment,1
UK,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
US,control,1
UK,control,0
CA,treatment,0
US,control,0
CA,control,0
US,treatment,1
US,control,1
US,control,0
US,control,0
US,treatment,0
UK,control,1
US,control,0
US,treatment,0
UK,control,0
UK,treatment,0
US,treatment,1
UK,control,0
CA,treatment,0
US,control,0
US,treatment,0
CA,treatment,1
US,control,0
US,treatment,0
UK,treatment,1
UK,control,0
US,treatment,0
US,treatment,1
US,treatment,0
US,control,0
CA,treatment,0
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
UK,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
UK,control,0
CA,control,0
CA,treatment,0
CA,control,0
US,control,0
UK,treatment,0
US,treatment,1
US,treatment,0
US,treatment,0
UK,control,1
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,1
US,control,0
US,treatment,0
UK,treatment,1
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
CA,control,0
US,control,0
US,control,0
US,treatment,1
UK,treatment,0
UK,treatment,0
US,control,0
CA,treatment,0
US,control,0
UK,treatment,0
US,control,0
US,control,1
UK,control,1
CA,control,0
UK,control,0
UK,control,0
UK,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
UK,treatment,1
UK,control,1
US,treatment,0
US,control,0
UK,control,1
US,treatment,0
UK,control,0
CA,control,0
US,control,1
UK,control,0
US,treatment,1
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
US,treatment,0
CA,control,0
UK,treatment,0
US,control,1
US,treatment,0
US,control,0
US,control,0
US,control,1
US,treatment,0
US,treatment,1
UK,control,0
UK,treatment,0
UK,treatment,0
US,treatment,0
UK,control,0
UK,treatment,1
US,treatment,0
UK,control,0
UK,treatment,0
US,control,0
US,control,0
CA,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
UK,treatment,0
UK,treatment,1
US,control,0
US,control,0
UK,treatment,0
UK,control,0
US,control,0
UK,control,0
US,treatment,0
UK,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
UK,control,0
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
CA,treatment,0
US,control,0
US,treatment,1
US,control,0
US,treatment,1
UK,control,0
US,treatment,0
US,control,1
US,control,0
CA,treatment,0
US,treatment,0
US,control,0
US,treatment,1
US,treatment,0
US,control,1
US,control,0
UK,control,0
CA,treatment,1
US,control,0
UK,control,0
UK,treatment,0
US,treatment,0
UK,treatment,1
US,treatment,0
US,treatment,0
US,control,1
UK,control,1
US,treatment,0
US,treatment,0
UK,treatment,0
US,treatment,0
UK,control,0
UK,treatment,0
US,treatment,0
US,treatment,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,1
US,treatment,0
CA,treatment,0
UK,control,0
US,control,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,1
UK,control,0
UK,treatment,1
CA,control,0
UK,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,1
US,control,0
US,control,0
US,control,0
US,control,0
US,control,0
CA,treatment,0
UK,treatment,0
US,treatment,0
US,control,0
UK,treatment,1
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
US,control,0
UK,control,0
UK,control,0
US,treatment,0
UK,control,0
UK,control,0
US,control,0
UK,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
UK,treatment,0
US,control,1
UK,treatment,0
CA,control,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
US,treatment,1
CA,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,1
US,control,0
US,treatment,0
US,control,0
US,control,1
US,control,1
US,control,0
US,control,0
UK,treatment,0
UK,treatment,0
UK,control,0
UK,control,0
US,treatment,0
US,treatment,1
UK,control,0
US,control,0
US,treatment,0
CA,treatment,0
CA,treatment,0
US,control,0
US,treatment,0
US,control,1
CA,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,1
US,treatment,0
US,control,0
UK,treatment,1
UK,treatment,0
UK,treatment,0
US,treatment,1
US,control,0
UK,control,0
UK,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
UK,treatment,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,1
US,treatment,0
UK,control,0
US,control,0
US,treatment,0
US,control,1
UK,control,0
UK,treatment,0
US,treatment,0
US,control,1
US,treatment,0
US,control,0
US,treatment,1
UK,control,0
UK,treatment,0
US,treatment,0
UK,treatment,0
UK,treatment,0
UK,control,0
US,treatment,0
UK,control,0
US,treatment,1
US,treatment,0
UK,control,1
UK,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,0
US,treatment,1
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,control,0
UK,control,0
US,treatment,0
UK,control,0
US,control,0
CA,control,0
UK,control,0
UK,control,0
UK,control,0
US,control,0
US,treatment,0
UK,control,0
US,control,0
UK,treatment,0
US,treatment,0
US,control,0
US,control,0
UK,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,control,0
US,treatment,0
CA,control,0
CA,control,0
UK,control,1
US,treatment,0
UK,treatment,0
US,treatment,0
UK,control,0
UK,treatment,1
US,control,0
US,treatment,1
US,treatment,0
UK,treatment,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,control,0
UK,treatment,0
US,control,1
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,1
US,treatment,0
UK,treatment,0
US,treatment,0
UK,control,1
UK,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,treatment,0
UK,control,0
US,treatment,0
US,control,0
UK,treatment,0
US,control,1
US,control,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
UK,control,0
US,control,0
UK,treatment,0
UK,treatment,0
US,treatment,0
US,control,1
US,treatment,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,1
CA,treatment,1
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
UK,control,0
US,control,1
US,treatment,0
UK,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,1
US,control,0
US,control,0
US,control,0
CA,treatment,1
UK,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
CA,control,1
UK,treatment,0
US,treatment,0
UK,control,0
UK,control,0
UK,control,0
UK,treatment,1
US,treatment,0
US,control,0
CA,treatment,1
US,control,0
US,control,0
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,control,0
CA,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
CA,control,0
US,control,1
US,treatment,1
US,treatment,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,1
US,treatment,0
US,treatment,0
US,control,1
US,treatment,0
UK,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
UK,treatment,1
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
US,treatment,0
US,treatment,1
US,control,0
UK,treatment,0
US,control,0
US,control,0
US,control,0
UK,control,0
US,control,0
US,treatment,1
US,control,0
US,control,0
US,treatment,0
US,treatment,1
US,control,0
US,treatment,0
US,treatment,0
UK,control,0
UK,control,0
US,treatment,0
US,treatment,0
US,control,0
UK,treatment,0
US,control,0
UK,control,0
UK,treatment,0
UK,treatment,0
UK,treatment,0
US,control,0
US,control,0
US,treatment,0
UK,control,1
US,control,0
UK,treatment,0
UK,control,0
US,treatment,0
US,control,1
US,control,0
UK,treatment,1
US,treatment,1
UK,control,0
US,treatment,0
UK,treatment,0
UK,control,0
US,control,0
US,control,0
US,treatment,1
US,treatment,0
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,1
US,control,0
US,control,0
UK,treatment,1
US,control,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
CA,treatment,0
UK,treatment,0
US,treatment,0
UK,treatment,1
US,control,0
US,treatment,0
US,control,1
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,control,1
US,control,0
UK,control,0
US,treatment,0
US,control,0
US,control,0
US,control,0
US,treatment,0
UK,treatment,0
US,control,1
UK,treatment,0
US,control,0
UK,control,1
US,treatment,0
US,treatment,0
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,0
US,treatment,0
UK,treatment,0
UK,control,0
US,control,0
UK,treatment,0
US,control,0
US,control,0
US,control,0
UK,treatment,1
US,control,0
CA,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,1
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,1
US,control,0
CA,treatment,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
UK,control,0
CA,control,0
US,treatment,0
US,treatment,1
US,treatment,0
CA,treatment,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
US,control,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
UK,treatment,0
UK,control,0
UK,control,0
CA,control,0
UK,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,1
UK,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,0
US,control,0
UK,treatment,0
US,treatment,1
US,treatment,0
US,treatment,0
CA,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,control,1
UK,treatment,0
US,treatment,1
UK,control,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
US,treatment,0
UK,control,0
US,control,0
US,control,0
UK,treatment,1
UK,treatment,0
US,control,1
US,treatment,0
US,control,0
UK,control,1
CA,control,0
US,treatment,0
UK,control,0
US,treatment,1
US,treatment,0
UK,control,0
US,treatment,0
UK,treatment,1
UK,treatment,0
US,treatment,0
US,control,0
UK,control,0
US,control,0
US,treatment,0
US,treatment,0
US,control,1
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
UK,treatment,0
UK,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
UK,control,0
US,treatment,0
US,treatment,0
UK,treatment,0
US,control,0
US,control,0
US,control,1
US,control,0
US,treatment,0
UK,treatment,1
US,treatment,0
US,treatment,0
US,control,0
UK,control,0
US,treatment,0
UK,treatment,0
US,control,0
UK,treatment,0
US,treatment,0
UK,control,0
US,treatment,0
UK,treatment,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,treatment,1
US,control,0
US,treatment,0
UK,control,0
CA,control,0
UK,control,0
UK,treatment,0
US,treatment,0
US,treatment,0
US,control,1
US,control,0
US,treatment,1
UK,control,0
US,treatment,0
UK,control,0
US,control,0
UK,treatment,0
US,control,0
US,control,0
US,control,0
US,control,1
US,treatment,0
US,treatment,1
US,treatment,1
US,treatment,1
US,control,0
US,treatment,0
US,control,0
US,control,0
US,treatment,0
US,control,0
US,control,1
UK,control,1
UK,control,0
US,control,0
US,treatment,0
US,control,0
US,treatment,0
US,treatment,0
US,control,0
US,treatment,0
CA,control,0
US,control,0
US,control,0
US,control,0
US,control,0
US,treatment,1
US,treatment,0
UK,treatment,0
